Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_924_R225-2_S42.sort.GT,2,8,0.00032,0.00864,0.00032,0.99104
MAnderson017_924_R225-2_S42.sort.GT,n,24667,0.99104,0.00864,0.00032,0.99104
MAnderson017_925_R225-2_S48.sort.GT,1,4240,0.1703,0.1703,0.00161,0.82809
MAnderson017_925_R225-2_S48.sort.GT,2,40,0.00161,0.1703,0.00161,0.82809
MAnderson017_925_R225-2_S48.sort.GT,n,20617,0.82809,0.1703,0.00161,0.82809
MAnderson017_931_R225-2_S91.sort.GT,1,208,0.00836,0.00836,0.00044,0.9912
MAnderson017_931_R225-2_S91.sort.GT,2,11,0.00044,0.00836,0.00044,0.9912
MAnderson017_931_R225-2_S91.sort.GT,n,24670,0.9912,0.00836,0.00044,0.9912
MAnderson017_932_R225-2_S38.sort.GT,1,213,0.00856,0.00856,0.00028,0.99116
MAnderson017_932_R225-2_S38.sort.GT,2,7,0.00028,0.00856,0.00028,0.99116
MAnderson017_932_R225-2_S38.sort.GT,n,24676,0.99116,0.00856,0.00028,0.99116
MAnderson017_935_R225-2_S75.sort.GT,1,202,0.00812,0.00812,0.00052,0.99136
MAnderson017_935_R225-2_S75.sort.GT,2,13,0.00052,0.00812,0.00052,0.99136
MAnderson017_935_R225-2_S75.sort.GT,n,24665,0.99136,0.00812,0.00052,0.99136
MAnderson017_936_R225-2_S74.sort.GT,1,200,0.00804,0.00804,0.00048,0.99148
MAnderson017_936_R225-2_S74.sort.GT,2,12,0.00048,0.00804,0.00048,0.99148
MAnderson017_936_R225-2_S74.sort.GT,n,24673,0.99148,0.00804,0.00048,0.99148
MAnderson017_938_R225-2_S81.sort.GT,1,217,0.00871,0.00871,0.00052,0.99077
MAnderson017_938_R225-2_S81.sort.GT,2,13,0.00052,0.00871,0.00052,0.99077
MAnderson017_938_R225-2_S81.sort.GT,n,24681,0.99077,0.00871,0.00052,0.99077
MAnderson017_939_R225-2_S100.sort.GT,1,191,0.00768,0.00768,0.00056,0.99176
MAnderson017_939_R225-2_S100.sort.GT,2,14,0.00056,0.00768,0.00056,0.99176
MAnderson017_939_R225-2_S100.sort.GT,n,24679,0.99176,0.00768,0.00056,0.99176
MAnderson017_940_R225-2_S43.sort.GT,1,234,0.0094,0.0094,0.00036,0.99024
MAnderson017_940_R225-2_S43.sort.GT,2,9,0.00036,0.0094,0.00036,0.99024
MAnderson017_940_R225-2_S43.sort.GT,n,24644,0.99024,0.0094,0.00036,0.99024
MAnderson017_946_R225-2_S47.sort.GT,1,202,0.00812,0.00812,0.00052,0.99136
MAnderson017_946_R225-2_S47.sort.GT,2,13,0.00052,0.00812,0.00052,0.99136
MAnderson017_946_R225-2_S47.sort.GT,n,24666,0.99136,0.00812,0.00052,0.99136
MAnderson017_951_R225-2_S90.sort.GT,1,277,0.01115,0.01115,0.00048,0.98836
MAnderson017_951_R225-2_S90.sort.GT,2,12,0.00048,0.01115,0.00048,0.98836
MAnderson017_951_R225-2_S90.sort.GT,n,24546,0.98836,0.01115,0.00048,0.98836
MAnderson017_952_R225-2_S61.sort.GT,1,24876,0.9996,0.9996,0.00028,0.00012
MAnderson017_952_R225-2_S61.sort.GT,2,7,0.00028,0.9996,0.00028,0.00012
MAnderson017_952_R225-2_S61.sort.GT,n,3,0.00012,0.9996,0.00028,0.00012
MAnderson017_953_R225-2_S72.sort.GT,1,24887,0.99988,0.99988,4e-05,8e-05
MAnderson017_953_R225-2_S72.sort.GT,2,1,4e-05,0.99988,4e-05,8e-05
MAnderson017_953_R225-2_S72.sort.GT,n,2,8e-05,0.99988,4e-05,8e-05
MAnderson017_954_R225-2_S118.sort.GT,1,24886,0.99988,0.99988,8e-05,4e-05
MAnderson017_954_R225-2_S118.sort.GT,2,2,8e-05,0.99988,8e-05,4e-05
MAnderson017_954_R225-2_S118.sort.GT,n,1,4e-05,0.99988,8e-05,4e-05
MAnderson017_955_R225-2_S119.sort.GT,1,24881,0.99964,0.99964,4e-05,0.00032
MAnderson017_955_R225-2_S119.sort.GT,2,1,4e-05,0.99964,4e-05,0.00032
MAnderson017_955_R225-2_S119.sort.GT,n,8,0.00032,0.99964,4e-05,0.00032
MAnderson017_959_R225-2_S55.sort.GT,1,24886,0.9998,0.9998,4e-05,0.00016
MAnderson017_959_R225-2_S55.sort.GT,2,1,4e-05,0.9998,4e-05,0.00016
MAnderson017_959_R225-2_S55.sort.GT,n,4,0.00016,0.9998,4e-05,0.00016
MAnderson017_960_R225-2_S56.sort.GT,1,24812,0.99936,0.99936,0.00048,0.00016
MAnderson017_960_R225-2_S56.sort.GT,2,12,0.00048,0.99936,0.00048,0.00016
MAnderson017_960_R225-2_S56.sort.GT,n,4,0.00016,0.99936,0.00048,0.00016
MAnderson017_961_R225-2_S116.sort.GT,1,24815,0.99952,0.99952,0.00036,0.00012
MAnderson017_961_R225-2_S116.sort.GT,2,9,0.00036,0.99952,0.00036,0.00012
MAnderson017_961_R225-2_S116.sort.GT,n,3,0.00012,0.99952,0.00036,0.00012
MAnderson017_964_R225-2_S60.sort.GT,1,223,0.00896,0.00896,0.00052,0.99052
MAnderson017_964_R225-2_S60.sort.GT,2,13,0.00052,0.00896,0.00052,0.99052
MAnderson017_964_R225-2_S60.sort.GT,n,24659,0.99052,0.00896,0.00052,0.99052
MAnderson017_967_R225-2_S121.sort.GT,1,333,0.01338,0.01338,0.0006,0.98602
MAnderson017_967_R225-2_S121.sort.GT,2,15,0.0006,0.01338,0.0006,0.98602
MAnderson017_967_R225-2_S121.sort.GT,n,24546,0.98602,0.01338,0.0006,0.98602
MAnderson017_968_R225-2_S57.sort.GT,1,4133,0.16631,0.16631,0.05726,0.77643
MAnderson017_968_R225-2_S57.sort.GT,2,1423,0.05726,0.16631,0.05726,0.77643
MAnderson017_968_R225-2_S57.sort.GT,n,19295,0.77643,0.16631,0.05726,0.77643
